,BBL,XCoord,YCoord,norm_site_eui,norm_source_eui,energy_star,LotArea,BldgArea,NumBldgs,NumFloors,YearBuilt,BuiltFAR,total_ghg
0,1009970029,988863.0,214936.0,54.2,166.8,90.0,33639,734668,1,40.0,1984,21.84,3054.3
1,1013150001,991339.0,212622.0,83.4,184.1,86.0,18993,380000,1,28.0,1958,20.01,2453.3
2,1009990019,988949.0,215488.0,63.2,159.4,84.0,26100,565000,1,25.0,1987,21.65,2961.2
3,1013190047,991948.0,213575.0,96.6,215.0,75.0,25768,405399,1,23.0,1960,15.73,2731.4
4,1009950005,988194.0,214716.0,113.6,285.8,61.0,45800,1642675,1,51.0,1998,35.87,13661.8
5,1013160001,991491.0,212910.0,95.2,201.5,66.0,18578,289356,1,31.0,1966,15.58,5436.0
6,1012980023,991191.0,213341.0,82.7,221.5,72.0,35145,627691,1,31.0,1987,17.86,4982.7
7,1012860035,991393.0,215321.0,91.3,245.5,79.0,30625,656436,1,33.0,1994,21.43,5298.3
8,1000480001,981445.0,197457.0,129.0,264.5,68.0,52636,1141266,1,50.0,1967,21.68,12402.5
9,1008560024,988244.0,209879.0,96.7,211.3,78.0,83937,1159795,1,33.0,1929,13.82,11334.2
10,1000350010,982310.0,195859.0,63.6,173.4,,48741,990250,1,24.0,1968,20.32,4675.5
11,1001860001,981189.0,201802.0,78.8,202.6,78.0,82323,1594289,1,39.0,1989,19.37,11474.5
12,1009960029,988720.0,214729.0,108.7,241.2,76.0,42050,1039529,2,44.0,1968,24.72,8112.3
13,5024000210,938931.0,151617.0,52.4,149.3,76.0,754754,179200,1,2.0,1993,0.24,747.7
14,2051410003,1032258.0,254363.0,55.8,156.2,85.0,168030,170513,1,3.0,1996,1.01,734.0
15,4018600102,1020900.0,207074.0,62.6,178.9,80.0,82267,202383,1,3.0,2004,2.46,1013.5
16,1013030033,992067.0,214349.0,78.6,207.5,79.0,22083,490020,1,50.0,1983,22.19,3056.8
17,4093640010,1035178.0,194543.0,,,100.0,108138,484470,3,8.0,1987,4.48,323.4
18,1012617501,989278.0,215007.0,114.9,227.3,63.0,59873,1204839,2,44.0,1974,20.12,15118.2
19,1013000033,991633.0,213664.0,90.0,226.1,84.0,38168,665110,2,28.0,1959,17.43,4445.4
20,1012870021,991277.0,215627.0,,,97.0,15062,262287,1,23.0,1954,17.41,980.0
21,1013090001,992101.0,216066.0,,,71.0,9037,136044,1,16.0,1958,15.05,3499.0
22,1008547501,987995.0,209430.0,76.2,201.9,90.0,83937,1630256,1,30.0,1932,19.42,15889.6
23,1010277504,989101.0,218077.0,78.9,223.9,71.0,30367,181683,1,53.0,2002,5.98,4074.9
24,1014637501,996278.0,218012.0,503.3,1095.2,,26168,731550,2,22.0,2003,27.96,28370.0
25,1014610013,996112.0,217531.0,432.1,922.7,,28119,228637,1,16.0,1987,8.13,10736.4
26,1012890014,991329.0,216194.0,,,74.0,43532,916586,1,43.0,1982,21.06,6846.1
27,1000627501,981244.0,197859.0,106.1,259.4,84.0,95348,1690747,1,54.0,1973,17.73,19360.4
28,1010497501,988933.0,219251.0,,,,149560,2103828,1,54.0,2004,14.07,31804.9
29,1000047501,980917.0,195090.0,149.0,358.8,61.0,111382,1888126,1,50.0,1969,16.95,28473.3
